paper_id,citation_key,doi,title,window_seconds,hop_seconds,window_overlap_pct,split_type,metric_aggregation,normalization_source,normalization_source_identified,evaluated_user_stats,model_family,window_length_reported,window_hop_reported,explicit_overlap_reported,split_type_reported,loso_described,metric_aggregation_reported,normalization_code
W001,surveyW001,10.1145/3242969.3242985,"Introducing WESAD, a Multimodal Dataset for Wearable Stress and Affect Detection",60,0.25,cannot_determine,loso,cannot_determine,not established,N,not established,AdaBoost,1,1,--,1,1,--,--
W002,surveyW002,10.1109/icirca48905.2020.9183244,Stress Detection with Machine Learning and Deep Learning using Multimodal Physiological Data,1,1,cannot_determine,loso,mean across held-out subjects,not established,N,not established,,1,1,--,1,1,1,--
W003,surveyW003,10.1145/3397482.3450732,Stress Detection by Machine Learning and Wearable Sensors,10,cannot_determine,0,loso,mean across held-out participants,not established,N,not established,,1,--,1,1,1,1,--
W004,surveyW004,10.1109/sips47522.2019.9020321,Feature Selection Framework for XGBoost Based on Electrodermal Activity in Stress Detection,60,30,50,loso,cannot_determine,not established,N,not established,,1,1,1,1,1,--,--
W005,surveyW005,10.1109/jiot.2023.3265768,Stress Detection Using Context-Aware Sensor Fusion From Wearable Devices,60,5,cannot_determine,loso,cannot_determine,not established,N,not established,,1,1,--,1,1,--,--
W007,surveyW007,10.3390/bios12121153,Classification of Mental Stress from Wearable Physiological Sensors Using Image-Encoding-Based Deep Neural Network,cannot_determine,cannot_determine,cannot_determine,cannot_determine,cannot_determine,not established,N,not established,CNN,--,--,--,--,--,--,--
W008,surveyW008,10.1186/s12911-020-01299-4,Stress detection using deep neural networks,cannot_determine,cannot_determine,cannot_determine,random_sample,cannot_determine,not established,N,not established,CNN,--,--,--,1,--,--,--
W009,surveyW009,10.1016/j.jbi.2023.104556,Ensemble machine learning model trained on a new synthesized dataset generalizes well for stress prediction using wearable devices,cannot_determine,cannot_determine,cannot_determine,cannot_determine,cannot_determine,not established,N,not established,,--,--,--,--,--,--,--
W010,surveyW010,10.1109/access.2021.3057578,Intelligent Stress Monitoring Assistant for First Responders,60,0.25,cannot_determine,loso,arithmetic mean of 15 subject folds,not established,N,not established,,1,1,--,1,1,1,--
W011,surveyW011,10.1109/ijcnn55064.2022.9892953,MoStress: a Sequence Model for Stress Classification,30; 60; 90,1,cannot_determine,fixed_subject_holdout,cannot_determine,current window,Y,Y,,1,1,--,1,--,--,U
W012,surveyW012,10.3390/electronics14040723,Emotion Recognition Using a Siamese Model and a Late Fusion-Based Multimodal Method in the WESAD Dataset with Hardware Accelerators,30,15,cannot_determine,cannot_determine,cannot_determine,not established,N,not established,Siamese network; CNN; LSTM,1,1,--,--,--,--,--
W014,surveyW014,10.18280/ria.370119,Deep Learning Framework for Classification of Mental Stress from Multimodal Datasets,cannot_determine,cannot_determine,cannot_determine,cannot_determine,cannot_determine,not established,N,not established,CNN,--,--,--,--,--,--,--
W015,surveyW015,10.3390/electronics10131550,Advancing Stress Detection Methodology with Deep Learning Techniques Targeting UX Evaluation in AAL Scenarios: Applying Embeddings for Categorical Variables,cannot_determine,cannot_determine,cannot_determine,cannot_determine,cannot_determine,not established,N,not established,SVM; feed-forward neural network,--,--,--,--,--,--,--
W016,surveyW016,10.3389/fbioe.2025.1659002,"A cross-domain framework for emotion and stress detection using WESAD, SCIENTISST-MOVE, and DREAMER datasets",cannot_determine,cannot_determine,cannot_determine,cannot_determine,cannot_determine,not established,N,not established,cannot_determine,--,--,--,--,--,--,--
W017,surveyW017,10.1007/s12652-022-04365-z,Evaluating different configurations of machine learning models and their transfer learning capabilities for stress detection using heart rate,300,20,cannot_determine,fixed_subject_holdout,cannot_determine,subject non-stress baseline,Y,Y,MLP,1,1,--,1,--,--,U
W020,surveyW020,10.1016/j.mlwa.2022.100395,"Detecting stress through 2D ECG images using pretrained models, transfer learning and model compression techniques",cannot_determine,cannot_determine,cannot_determine,kfold_ungrouped,cannot_determine,not established,N,not established,,--,--,--,1,--,--,--
W021,surveyW021,10.1016/j.mex.2025.103205,From lab to real-life: A three-stage validation of wearable technology for stress monitoring,210,cannot_determine,50,cannot_determine,mean_over_folds,not established,N,not established,ensemble of classical classifiers,1,--,1,--,--,1,--
W022,surveyW022,10.2196/52171,A Comparison of Personalized and Generalized Approaches to Emotion Recognition Using Consumer Wearable Devices: Machine Learning Study,cannot_determine,cannot_determine,cannot_determine,loso | subject_dependent,cannot_determine,not established,N,not established,,--,--,--,1,1,--,--
W023,surveyW023,10.1109/access.2021.3060441,Stress Detection With Single PPG Sensor by Orchestrating Multiple Denoising and Peak-Detecting Methods,120,0.25,cannot_determine,loso,cannot_determine,not established,N,not established,,1,1,--,1,1,--,--
W024,surveyW024,10.1088/1361-6501/ac3aae,Real-time mental stress detection technique using neural networks towards a wearable health monitor,5,cannot_determine,cannot_determine,cannot_determine,cannot_determine,not established,N,not established,,1,--,--,--,--,--,--
W025,surveyW025,10.3390/s23052821,AI-Enabled Smart Wristband Providing Real-Time Vital Signs and Stress Monitoring,30,cannot_determine,cannot_determine,fixed_subject_holdout,cannot_determine,training-sample statistics,Y,N,SVM,1,--,--,1,--,--,T
W026,surveyW026,10.1109/niles63360.2024.10753228,A Deep Learning Approach Using WESAD Data for Multi-Class Classification with Wearable Sensors,5,cannot_determine,cannot_determine,random_sample,cannot_determine,not established,N,not established,,1,--,--,1,--,--,--
W028,surveyW028,10.3390/s23083984,Wrist-Based Electrodermal Activity Monitoring for Stress Detection Using Federated Learning,cannot_determine,cannot_determine,cannot_determine,cannot_determine,cannot_determine,not established,N,not established,DNN; federated learning,--,--,--,--,--,--,--
W029,surveyW029,10.1371/journal.pone.0310776,An improved biometric stress monitoring solution for working employees using heart rate variability data and Capsule Network model,cannot_determine,cannot_determine,cannot_determine,cannot_determine,mean_over_folds,not established,N,not established,CapsNets,--,--,--,--,--,1,--
W030,surveyW030,10.1109/access.2024.3461588,Resp-BoostNet: Mental Stress Detection From Biomarkers Measurable by Smartwatches Using Boosting Neural Network Technique,2,0.25,cannot_determine,cannot_determine,cannot_determine,not established,N,not established,BNN; ANN,1,1,--,--,--,--,--
W032,surveyW032,10.1002/dac.5657,Hybrid deep learning model for wearable sensor‐based stress recognition for Internet of Medical Things (IoMT) system,cannot_determine,cannot_determine,cannot_determine,cannot_determine,cannot_determine,not established,N,not established,,--,--,--,--,--,--,--
W033,surveyW033,10.1109/tim.2024.3420349,Deep Learning-Based Automated Emotion Recognition Using Multimodal Physiological Signals and Time-Frequency Methods,cannot_determine,cannot_determine,cannot_determine,kfold_ungrouped,mean across six outer folds,not established,N,not established,,--,--,--,1,--,1,--
W034,surveyW034,10.3390/jpm12101584,"Comparative Analysis between Individual, Centralized, and Federated Learning for Smartwatch Based Stress Detection",60,0.25,cannot_determine,subject_dependent,mean_over_subjects,not established,N,not established,,1,1,--,1,--,1,--
W035,surveyW035,10.1109/tim.2024.3500058,Emotion Classification Through Optimal Segments of EDA and Texture Analysis of Time-Encoded Images With Artificial Intelligence,cannot_determine,cannot_determine,50,kfold_ungrouped,cannot_determine,not established,N,not established,,--,--,1,1,--,--,--
W036,surveyW036,10.1038/s41598-025-06918-6,Analyzing mental stress in Indian students through advanced machine learning and wearable technologies,cannot_determine,cannot_determine,cannot_determine,cannot_determine,cannot_determine,not established,N,not established,cannot_determine,--,--,--,--,--,--,--
W037,surveyW037,10.1109/is48319.2020.9199928,User Independent Human Stress Detection,60,cannot_determine,cannot_determine,fixed_subject_holdout,cannot_determine,not established,N,not established,,1,--,--,1,--,--,--
W038,surveyW038,10.1016/j.procs.2024.09.355,Deep Neural Network Based for Stress Detection,5,cannot_determine,cannot_determine,random_sample,cannot_determine,not established,N,not established,,1,--,--,1,--,--,--
W039,surveyW039,10.1109/dcoss54816.2022.00019,SELF-CARE: Selective Fusion with Context-Aware Low-Power Edge Computing for Stress Detection,60,5,cannot_determine,loso,cannot_determine,not established,N,not established,,1,1,--,1,1,--,--
W041,surveyW041,10.3390/technologies13090411,Physiologically Explainable Ensemble Framework for Stress Classification via Respiratory Signals,60,cannot_determine,cannot_determine,loso,mean_over_subjects,subject across-state baseline,Y,Y,stacking ensemble,1,--,--,1,1,1,U
W042,surveyW042,10.3389/fncom.2024.1482994,BrainNet: an automated approach for brain stress prediction utilizing electrodermal activity signal with XLNet model,cannot_determine,cannot_determine,cannot_determine,cannot_determine,cannot_determine,not established,N,not established,cannot_determine,--,--,--,--,--,--,--
W043,surveyW043,10.1109/bhi50953.2021.9508611,EMoCy: Towards Physiological Signals-Based Stress Detection,60,0.25,99.5,loso,mean across held-out subject folds,not established,N,not established,,1,1,1,1,1,1,--
W047,surveyW047,10.3390/s23115220,Global Stress Detection Framework Combining a Reduced Set of HRV Features and Random Forest Model,cannot_determine,cannot_determine,cannot_determine,subject_dependent,cannot_determine,not established,N,not established,Random Forest,--,--,--,1,--,--,--
W048,surveyW048,10.3390/s23156664,Efficient Feature-Selection-Based Stacking Model for Stress Detection Based on Chest Electrodermal Activity,60,0.25,cannot_determine,cannot_determine,cannot_determine,not established,N,not established,Logistic Regression; LDA; QDA; Random Forest; stacking,1,1,--,--,--,--,--
W049,surveyW049,10.1109/icrom60803.2023.10412512,Wavelet-Based Analysis of Photoplethysmogram for Stress Detection Using Convolutional Neural Networks,10,1,cannot_determine,cannot_determine,cannot_determine,not established,N,not established,,1,1,--,--,--,--,--
W050,surveyW050,10.1109/icrom57054.2022.10025071,Stress Assessment with Convolutional Neural Network Using PPG Signals,cannot_determine,cannot_determine,cannot_determine,subject_dependent,cannot_determine,not established,N,not established,CNN,--,--,--,1,--,--,--
W051,surveyW051,10.1109/bibm62325.2024.10822335,Mental Stress Detection Using PPG Signals Based on Transformer-LSTM Model,cannot_determine,cannot_determine,cannot_determine,cannot_determine,cannot_determine,not established,N,not established,,--,--,--,--,--,--,--
W052,surveyW052,10.1109/metroind4.0iot57462.2023.10180143,Affective state classification using timing-related features from short windowed PPG signal,10,cannot_determine,30,fixed_subject_holdout,individual subjects and pooled test subjects,current window,Y,Y,,1,--,1,1,--,1,U
W053,surveyW053,10.1109/jsas.2025.3648684,Stress Classification From ECG Signals Using Vision Transformer,1,cannot_determine,cannot_determine,loso,mean_over_subjects,not established,N,not established,Vision Transformer,1,--,--,1,1,1,--
W054,surveyW054,10.1016/j.bspc.2025.109208,Automated stress detection with explainable-AI transformer TabNet technique and physiological signals,25,cannot_determine,cannot_determine,loso,cannot_determine,not established,N,not established,,1,--,--,1,1,--,--
W055,surveyW055,10.1109/icccnt56998.2023.10307589,FuSeR: Fusion of wearables data for StrEss Recognition using explainable artificial intelligence models,cannot_determine,cannot_determine,cannot_determine,cannot_determine,cannot_determine,not established,N,not established,,--,--,--,--,--,--,--
W056,surveyW056,10.18280/ria.370628,A Novel Transfer Learning with Organic Computing in Deep Learning for Stress Classification,cannot_determine,cannot_determine,cannot_determine,cannot_determine,cannot_determine,not established,N,not established,cannot_determine,--,--,--,--,--,--,--
W057,surveyW057,10.48084/etasr.12427,Mental Stress Classification Using Multivariate Analysis of Variance with Bidirectional Long Short-Term Memory Model,cannot_determine,cannot_determine,cannot_determine,cannot_determine,cannot_determine,not established,N,not established,MANOVA-Bi-LSTM,--,--,--,--,--,--,--
W058,surveyW058,10.1109/ichih63459.2024.11064910,Study of a Hybrid CNN-SVM Model for Stress Detection with Automated Heart Rate Variability Feature Extraction Method,cannot_determine,cannot_determine,cannot_determine,random_sample,cannot_determine,not established,N,not established,,--,--,--,1,--,--,--
W059,surveyW059,10.1109/icee63041.2024.10668302,Real-Time Stress Detection via Photoplethysmogram Signals: Implementation of a Combined Continuous Wavelet Transform and Convolutional Neural Network on Resource-Constrained Microcontrollers,cannot_determine,cannot_determine,cannot_determine,cannot_determine,cannot_determine,not established,N,not established,cannot_determine,--,--,--,--,--,--,--
W060,surveyW060,10.48550/arxiv.2502.18733,Cross-Modality Investigation on WESAD Stress Classification,cannot_determine,cannot_determine,cannot_determine,cannot_determine,cannot_determine,not established,N,not established,Transformer,--,--,--,--,--,--,--
