study,window_length,window_hop,explicit_overlap,split_type,loso,metric_aggregation,normalization
W001,1,1,--,1,1,--,--
W002,1,1,--,1,1,1,--
W003,1,--,1,1,1,1,--
W004,1,1,1,1,1,--,--
W005,1,1,--,1,1,--,--
W007,--,--,--,--,--,--,--
W008,--,--,--,1,--,--,--
W009,--,--,--,--,--,--,--
W010,1,1,--,1,1,1,--
W011,1,1,--,1,--,--,U
W012,1,1,--,--,--,--,--
W014,--,--,--,--,--,--,--
W015,--,--,--,--,--,--,--
W016,--,--,--,--,--,--,--
W017,1,1,--,1,--,--,U
W020,--,--,--,1,--,--,--
W021,1,--,1,--,--,1,--
W022,--,--,--,1,1,--,--
W023,1,1,--,1,1,--,--
W024,1,--,--,--,--,--,--
W025,1,--,--,1,--,--,T
W026,1,--,--,1,--,--,--
W028,--,--,--,--,--,--,--
W029,--,--,--,--,--,1,--
W030,1,1,--,--,--,--,--
W032,--,--,--,--,--,--,--
W033,--,--,--,1,--,1,--
W034,1,1,--,1,--,1,--
W035,--,--,1,1,--,--,--
W036,--,--,--,--,--,--,--
W037,1,--,--,1,--,--,--
W038,1,--,--,1,--,--,--
W039,1,1,--,1,1,--,--
W041,1,--,--,1,1,1,U
W042,--,--,--,--,--,--,--
W043,1,1,1,1,1,1,--
W047,--,--,--,1,--,--,--
W048,1,1,--,--,--,--,--
W049,1,1,--,--,--,--,--
W050,--,--,--,1,--,--,--
W051,--,--,--,--,--,--,--
W052,1,--,1,1,--,1,U
W053,1,--,--,1,1,1,--
W054,1,--,--,1,1,--,--
W055,--,--,--,--,--,--,--
W056,--,--,--,--,--,--,--
W057,--,--,--,--,--,--,--
W058,--,--,--,1,--,--,--
W059,--,--,--,--,--,--,--
W060,--,--,--,--,--,--,--
