dataset,arm,epoch,heldout_macro_f1,train_loss,n_fits
wearable,safe_edabe_transfer,1,0.4958,0.9053,78
wearable,safe_edabe_transfer,2,0.5069,0.8262,78
wearable,safe_edabe_transfer,3,0.5162,0.7935,78
wearable,safe_edabe_transfer,4,0.5231,0.7684,78
wearable,safe_edabe_transfer,5,0.5307,0.747,78
wearable,safe_edabe_transfer,6,0.5263,0.7346,78
wearable,safe_edabe_transfer,7,0.5198,0.7197,78
wearable,safe_edabe_transfer,8,0.5218,0.7077,78
wearable,safe_edabe_transfer,9,0.54,0.6977,78
wearable,safe_edabe_transfer,10,0.5246,0.685,78
wearable,safe_edabe_transfer,11,0.537,0.6747,78
wearable,safe_edabe_transfer,12,0.5317,0.6665,78
wearable,safe_scratch,1,0.3657,1.0632,78
wearable,safe_scratch,2,0.3871,1.0388,78
wearable,safe_scratch,3,0.4354,0.9938,78
wearable,safe_scratch,4,0.4433,0.9522,78
wearable,safe_scratch,5,0.4743,0.9186,78
wearable,safe_scratch,6,0.5041,0.8893,78
wearable,safe_scratch,7,0.5051,0.8703,78
wearable,safe_scratch,8,0.507,0.8567,78
wearable,safe_scratch,9,0.5137,0.8407,78
wearable,safe_scratch,10,0.5189,0.8321,78
wearable,safe_scratch,11,0.5145,0.8234,78
wearable,safe_scratch,12,0.5128,0.8167,78
wesad,safe_edabe_transfer,1,0.6079,0.4295,9
wesad,safe_edabe_transfer,2,0.5861,0.1971,9
wesad,safe_edabe_transfer,3,0.5774,0.13,9
wesad,safe_edabe_transfer,4,0.5608,0.0965,9
wesad,safe_edabe_transfer,5,0.5678,0.0756,9
wesad,safe_edabe_transfer,6,0.5826,0.0622,9
wesad,safe_edabe_transfer,7,0.5405,0.0488,9
wesad,safe_edabe_transfer,8,0.5637,0.0423,9
wesad,safe_edabe_transfer,9,0.5614,0.0351,9
wesad,safe_edabe_transfer,10,0.5594,0.0304,9
wesad,safe_edabe_transfer,11,0.5577,0.0278,9
wesad,safe_edabe_transfer,12,0.5586,0.0233,9
wesad,safe_scratch,1,0.405,0.7518,9
wesad,safe_scratch,2,0.4864,0.5149,9
wesad,safe_scratch,3,0.4283,0.4034,9
wesad,safe_scratch,4,0.4512,0.338,9
wesad,safe_scratch,5,0.4665,0.2971,9
wesad,safe_scratch,6,0.4508,0.2569,9
wesad,safe_scratch,7,0.4902,0.2278,9
wesad,safe_scratch,8,0.4813,0.2098,9
wesad,safe_scratch,9,0.4829,0.1881,9
wesad,safe_scratch,10,0.4797,0.1653,9
wesad,safe_scratch,11,0.538,0.153,9
wesad,safe_scratch,12,0.5034,0.1359,9
