arm,macro_f1,sd,n
majority_class,0.2362,0.0021,15
handcrafted_svm_rbf,0.3112,0.1145,15
raw_window_linear,0.3476,0.1379,45
P1_eda_feature_adaboost,0.4498,0.074,45
P1_physiology_cvxeda_feature_adaboost,0.4596,0.0927,45
handcrafted_random_forest_100,0.4642,0.1537,45
P1_raw_1d_tcn,0.4832,0.155,45
handcrafted_adaboost,0.4967,0.0984,45
P1_safe_eda_static_only,0.5005,0.1662,45
P1_safe_eda_global_pooling_only,0.5006,0.1544,45
safe_scratch_B1,0.5015,0.1452,45
ssl_edabe_transfer,0.509,0.1583,45
P1_safe_eda_without_decomposition_confidence,0.5094,0.1529,45
transfer_full_frozen,0.538,0.1329,45
transfer_stem_only,0.5463,0.1495,45
transfer_blocks_only,0.5507,0.1517,45
handcrafted_logistic_regression,0.5729,0.1339,15
safe_edabe_transfer,0.5794,0.1349,45
