normalization,hop_samples,arm,held_out_subject,macro_f1
global_train,1,safe_edabe_transfer,S10,0.680791061121
global_train,1,safe_edabe_transfer,S11,0.5672262960793333
global_train,1,safe_edabe_transfer,S13,0.608072951251
global_train,1,safe_edabe_transfer,S14,0.309021175302
global_train,1,safe_edabe_transfer,S15,0.5978446441499999
global_train,1,safe_edabe_transfer,S16,0.6631180417823334
global_train,1,safe_edabe_transfer,S17,0.27600812313433337
global_train,1,safe_edabe_transfer,S2,0.6772096272516667
global_train,1,safe_edabe_transfer,S3,0.6328026591356667
global_train,1,safe_edabe_transfer,S4,0.6728259054236667
global_train,1,safe_edabe_transfer,S5,0.5691884216740001
global_train,1,safe_edabe_transfer,S6,0.5634987736686666
global_train,1,safe_edabe_transfer,S7,0.5532783556833333
global_train,1,safe_edabe_transfer,S8,0.5980892842346667
global_train,1,safe_edabe_transfer,S9,0.722652627443
global_train,1,safe_scratch,S10,0.5829115142153334
global_train,1,safe_scratch,S11,0.516238308005
global_train,1,safe_scratch,S13,0.44718782545533337
global_train,1,safe_scratch,S14,0.3550276404643333
global_train,1,safe_scratch,S15,0.5718370715996667
global_train,1,safe_scratch,S16,0.632703981042
global_train,1,safe_scratch,S17,0.257566147296
global_train,1,safe_scratch,S2,0.553414276642
global_train,1,safe_scratch,S3,0.5852279868666667
global_train,1,safe_scratch,S4,0.690140579319
global_train,1,safe_scratch,S5,0.37823153535966664
global_train,1,safe_scratch,S6,0.4411515315966667
global_train,1,safe_scratch,S7,0.2845215537983333
global_train,1,safe_scratch,S8,0.5270666531173333
global_train,1,safe_scratch,S9,0.6993417131703333
global_train,4,safe_edabe_transfer,S10,0.71952154046
global_train,4,safe_edabe_transfer,S11,0.5286175345503333
global_train,4,safe_edabe_transfer,S13,0.557136969278
global_train,4,safe_edabe_transfer,S14,0.307995126829
global_train,4,safe_edabe_transfer,S15,0.7105456669
global_train,4,safe_edabe_transfer,S16,0.6291292325896667
global_train,4,safe_edabe_transfer,S17,0.261701887404
global_train,4,safe_edabe_transfer,S2,0.6857870916223333
global_train,4,safe_edabe_transfer,S3,0.643500868118
global_train,4,safe_edabe_transfer,S4,0.6648682509996666
global_train,4,safe_edabe_transfer,S5,0.47036019645166666
global_train,4,safe_edabe_transfer,S6,0.560657898874
global_train,4,safe_edabe_transfer,S7,0.47633504821733336
global_train,4,safe_edabe_transfer,S8,0.5753741714493333
global_train,4,safe_edabe_transfer,S9,0.7907980961350001
global_train,4,safe_scratch,S10,0.5082859983226666
global_train,4,safe_scratch,S11,0.4952039897916667
global_train,4,safe_scratch,S13,0.46753475445566667
global_train,4,safe_scratch,S14,0.4230881785696667
global_train,4,safe_scratch,S15,0.484897470521
global_train,4,safe_scratch,S16,0.7082708621270001
global_train,4,safe_scratch,S17,0.15867419750226666
global_train,4,safe_scratch,S2,0.4896149942106667
global_train,4,safe_scratch,S3,0.49162117892533336
global_train,4,safe_scratch,S4,0.6560874934616666
global_train,4,safe_scratch,S5,0.22003382023533333
global_train,4,safe_scratch,S6,0.345906210581
global_train,4,safe_scratch,S7,0.22954490919566664
